Gene,seqnames,start,end,source,type,score,Alias,start_in_plot,end_in_plot,final_posi_plot
10018at155619,Scaffold03,2494336,2496831,BUSCO,gene,796.7,,12044754,12047249,12046001.5
1005at155619,Scaffold11,1579041,1585190,BUSCO,gene,2096.8,Mon2  C-termil,NA,44992355,44998504
10077at155619,Scaffold01,400773,402543,BUSCO,gene,842,,400773,402543,401658
10122at155619,Scaffold02,2771317,2775347,BUSCO,gene,516.4,,7039899,7043929,7041914
10134at155619,Scaffold12,1059955,1062173,BUSCO,gene,655.9,FAD/NAD(P)-binding domain,48121854,48124072,48122963
10175at155619,Scaffold09,1984552,1987216,BUSCO,gene,344.7,,38230456,38233120,38231788
10211at155619,Scaffold02,985190,987068,BUSCO,gene,465.3,tRNA (Uracil(54)-C(5))-methyltransferase,5253772,5255650,5254711
10230at155619,Scaffold02,2597421,2599289,BUSCO,gene,598.7,Cytochrome b5-like heme/steroid binding domain,6866003,6867871,6866937
10240at155619,Scaffold12,1491916,1494526,BUSCO,gene,760,,48553815,48556425,48555120
10296at155619,Scaffold05,2020502,2023407,BUSCO,gene,701.2,,21299151,21302056,21300603.5
10301at155619,Scaffold01,2629814,2633549,BUSCO,gene,640.5,,2629814,2633549,2631681.5
10302at155619,Scaffold01,799987,803402,BUSCO,gene,663,Centrosomin  N-termil motif 1,NA,799987,803402
10320at155619,Scaffold08,884760,887497,BUSCO,gene,834.8,,33449831,33452568,33451199.5
10378at155619,Scaffold01,3439911,3442558,BUSCO,gene,800,,3439911,3442558,3441234.5
10414at155619,Scaffold05,2396864,2406016,BUSCO,gene,285.9,,21675513,21684665,21680089
10420at155619,Scaffold05,1599851,1601896,BUSCO,gene,485.1,,20878500,20880545,20879522.5
10438at155619,Scaffold11,393786,395331,BUSCO,gene,442.7,,43807100,43808645,43807872.5
1049at155619,Scaffold03,4067866,4072548,BUSCO,gene,796.4,,13618284,13622966,13620625
10532at155619,Scaffold11,1605789,1608154,BUSCO,gene,592.9,cyclin-like protein,45019103,45021468,45020285.5
10537at155619,Scaffold09,2329832,2332654,BUSCO,gene,933.9,,38575736,38578558,38577147
10602at155619,Scaffold01,1715392,1717527,BUSCO,gene,743.9,DUF382-domain-containing protein,1715392,1717527,1716459.5
1061at155619,Scaffold05,1225925,1231635,BUSCO,gene,1584.8,Cation-transporting ATPase,20504574,20510284,20507429
10649at155619,Scaffold04,2224821,2229400,BUSCO,gene,171.2,Zinc finger  RanBP2-type,NA,16717135,16721714
10702at155619,Scaffold02,2396031,2398978,BUSCO,gene,292.2,,6664613,6667560,6666086.5
10713at155619,Scaffold03,2845714,2847767,BUSCO,gene,730.4,,12396132,12398185,12397158.5
10763at155619,Scaffold04,2327898,2329710,BUSCO,gene,774.5,,16820212,16822024,16821118
10774at155619,Scaffold03,2398192,2402999,BUSCO,gene,397.1,,11948610,11953417,11951013.5
10775at155619,Scaffold01,2154574,2158485,BUSCO,gene,730.3,P-loop containing nucleoside triphosphate hydrolase protein,2154574,2158485,2156529.5
1079at155619,Scaffold09,1541079,1548091,BUSCO,gene,972.6,,37786983,37793995,37790489
10812at155619,Scaffold10,1444433,1448050,BUSCO,gene,574.2,,42044536,42048153,42046344.5
10825at155619,Scaffold10,965740,969457,BUSCO,gene,413.4,Phosphodiesterase,41565843,41569560,41567701.5
10854at155619,Scaffold02,1948692,1951319,BUSCO,gene,846.4,,6217274,6219901,6218587.5
10938at155619,Scaffold05,2091789,2094362,BUSCO,gene,903.4,RNA helicase,21370438,21373011,21371724.5
11011at155619,Scaffold07,1758199,1759976,BUSCO,gene,879.1,Isocitrate lyase,30083096,30084873,30083984.5
1103at155619,Scaffold02,3419544,3423977,BUSCO,gene,1577.9,,7688126,7692559,7690342.5
11046at155619,Scaffold09,2468182,2469756,BUSCO,gene,447.7,,38714086,38715660,38714873
