Gene,Species,value
10018at155619,T. abietinum,0.027315025
10018at155619,T. fuscoviolaceum,0.005173688
1005at155619,T. fuscoviolaceum,0.004137631
1005at155619,T. abietinum,0.020754308
10077at155619,T. fuscoviolaceum,0.019610279
10077at155619,T. abietinum,0.020870386
10122at155619,T. fuscoviolaceum,0.00323279
10122at155619,T. abietinum,0.01688041
10134at155619,T. abietinum,0.018667471
10134at155619,T. fuscoviolaceum,0.016799832
10175at155619,T. fuscoviolaceum,0.005470907
10175at155619,T. abietinum,0.012438753
10211at155619,T. fuscoviolaceum,0.006722689
10211at155619,T. abietinum,0.009765746
10230at155619,T. fuscoviolaceum,0.009420369
10230at155619,T. abietinum,0.018226058
10240at155619,T. fuscoviolaceum,0.002326231
10240at155619,T. abietinum,0.01631452
10296at155619,T. fuscoviolaceum,0.02875877
10296at155619,T. abietinum,0.019236482
10301at155619,T. fuscoviolaceum,0.010678458
10301at155619,T. abietinum,0.016502904
10302at155619,T. fuscoviolaceum,0.012720056
10302at155619,T. abietinum,0.020769698
10320at155619,T. fuscoviolaceum,0.016253945
10320at155619,T. abietinum,0.012085419
10378at155619,T. abietinum,0.018342103
10378at155619,T. fuscoviolaceum,0.014839568
10414at155619,T. fuscoviolaceum,0.01466924
10414at155619,T. abietinum,0.024416392
10420at155619,T. fuscoviolaceum,0.010206015
10420at155619,T. abietinum,0.012185135
10438at155619,T. fuscoviolaceum,0.026461988
10438at155619,T. abietinum,0.020692169
1049at155619,T. abietinum,0.016058114
1049at155619,T. fuscoviolaceum,0.004183766
10532at155619,T. fuscoviolaceum,0.003845546
10532at155619,T. abietinum,0.025801478
10537at155619,T. fuscoviolaceum,0.013926955
10537at155619,T. abietinum,0.021538509
10602at155619,T. fuscoviolaceum,0.001300813
10602at155619,T. abietinum,0.016319087
1061at155619,T. fuscoviolaceum,0.009474013
1061at155619,T. abietinum,0.021538328
10649at155619,T. fuscoviolaceum,0.024534487
10649at155619,T. abietinum,0.013317158
10702at155619,T. fuscoviolaceum,0.005908568
10702at155619,T. abietinum,0.009267746
10713at155619,T. fuscoviolaceum,0.016706672
10713at155619,T. abietinum,0.018721528
10763at155619,T. fuscoviolaceum,0.013181667
10763at155619,T. abietinum,0.018685653
10774at155619,T. abietinum,0.018500984
10774at155619,T. fuscoviolaceum,0.014230146
10775at155619,T. fuscoviolaceum,0.017223522
10775at155619,T. abietinum,0.021170769
1079at155619,T. fuscoviolaceum,0.009142344
1079at155619,T. abietinum,0.015548805
10812at155619,T. fuscoviolaceum,0.020833188
10812at155619,T. abietinum,0.019291578
10825at155619,T. abietinum,0.017778518
10825at155619,T. fuscoviolaceum,0.014553213
10854at155619,T. fuscoviolaceum,0.007447154
10854at155619,T. abietinum,0.012818788
10938at155619,T. abietinum,0.015085977
10938at155619,T. fuscoviolaceum,0.014769648
11011at155619,T. abietinum,0.015920577
11011at155619,T. fuscoviolaceum,0.014504427
1103at155619,T. abietinum,0.013103139
1103at155619,T. fuscoviolaceum,0.011954071
11046at155619,T. fuscoviolaceum,0.009910684
11046at155619,T. abietinum,0.024425885
11055at155619,T. abietinum,0.013116025
11055at155619,T. fuscoviolaceum,0.012796209
11065at155619,T. abietinum,0.016541713
11065at155619,T. fuscoviolaceum,0.003809979
11074at155619,T. abietinum,0.016464693
11074at155619,T. fuscoviolaceum,0.00762421
11077at155619,T. fuscoviolaceum,0.017223799
11077at155619,T. abietinum,0.020371486
11156at155619,T. abietinum,0.019361926
11156at155619,T. fuscoviolaceum,0.016616166
11213at155619,T. fuscoviolaceum,0.00764508
11213at155619,T. abietinum,0.017466936
11217at155619,T. fuscoviolaceum,0.018674267
11217at155619,T. abietinum,0.01978208
11278at155619,T. fuscoviolaceum,0.007776242
11278at155619,T. abietinum,0.018253386
11310at155619,T. abietinum,0.01554733
11310at155619,T. fuscoviolaceum,0.00508446
11313at155619,T. fuscoviolaceum,0.003155246
11313at155619,T. abietinum,0.017381973
11314at155619,T. fuscoviolaceum,0.007958922
11314at155619,T. abietinum,0.018242806
11428at155619,T. fuscoviolaceum,0.00837408
11428at155619,T. abietinum,0.011692025
11480at155619,T. fuscoviolaceum,0.013209941
11480at155619,T. abietinum,0.014405057
11483at155619,T. fuscoviolaceum,0.011173882
11483at155619,T. abietinum,0.014073848
11586at155619,T. fuscoviolaceum,0.017284031
11586at155619,T. abietinum,0.016553705
11687at155619,T. fuscoviolaceum,0.026429527
11687at155619,T. abietinum,0.020440133
11715at155619,T. fuscoviolaceum,0.016229522
11715at155619,T. abietinum,0.017947738
11780at155619,T. abietinum,0.018131462
11780at155619,T. fuscoviolaceum,0.004815069
11823at155619,T. fuscoviolaceum,0.007955084
11823at155619,T. abietinum,0.015731436
11828at155619,T. fuscoviolaceum,0.014927174
11828at155619,T. abietinum,0.015447698
11877at155619,T. fuscoviolaceum,0.012996779
11877at155619,T. abietinum,0.019189454
11939at155619,T. abietinum,0.01404292
11939at155619,T. fuscoviolaceum,0.007548092
12021at155619,T. fuscoviolaceum,0.015037078
12021at155619,T. abietinum,0.016254623
12091at155619,T. fuscoviolaceum,0.003684066
12091at155619,T. abietinum,0.025440381
12094at155619,T. fuscoviolaceum,0.005708731
12094at155619,T. abietinum,0.017354068
12097at155619,T. fuscoviolaceum,0.007265594
12097at155619,T. abietinum,0.016660915
12154at155619,T. fuscoviolaceum,0.011217067
12154at155619,T. abietinum,0.010367875
