GeneName,Comparison,count,dS_median,dS_mean,dS_SD,dN_median,dN_mean,dN_SD
10018at155619,between,5658,0.2642,0.273552633,0.184699464,0.0624,0.042902156,0.045158241
10018at155619,T. abietinum,9453,0.0681,0.09583401,0.229746939,0.0493,0.035820099,0.065113749
10018at155619,T. fuscoviolaceum,820,0.029,0.039514024,0.032163082,0.0022,0.002100732,0.001346573
10077at155619,between,5658,0.4049,0.405575433,0.028726356,0.0069,0.006488706,0.001291758
10077at155619,T. abietinum,9453,0.1418,0.112405215,0.072528683,0.0013,0.001723559,0.001660429
10077at155619,T. fuscoviolaceum,820,0.1204,0.11421122,0.063475474,0.0013,0.001981585,0.001870761
10122at155619,between,5658,0.3507,0.352207317,0.018080379,0.0468,0.04648169,0.003052013
10122at155619,T. abietinum,9453,0.0781,0.071831091,0.040988231,0.0141,0.01260658,0.007615758
10122at155619,T. fuscoviolaceum,820,0.0136,0.014822195,0.010664101,0.0014,0.001872927,0.001578325
10134at155619,between,5658,0.4925,0.495577236,0.029447612,0.0159,0.015767268,0.001645704
10134at155619,T. abietinum,9453,0.1232,0.117495208,0.057817523,0.004,0.004361356,0.002671187
10134at155619,T. fuscoviolaceum,820,0.1514,0.120784146,0.078116804,0.0013,0.00145439,0.001081521
10175at155619,between,5658,0.2598,0.261156486,0.015536868,0.0081,0.008424832,0.002437317
10175at155619,T. abietinum,9453,0.0468,0.059900529,0.045797282,0.0023,0.002747826,0.003788171
10175at155619,T. fuscoviolaceum,820,0.0077,0.025992683,0.028633582,0.0012,0.00089878,0.000855906
10211at155619,between,5658,0.2892,0.290541446,0.009264428,0.0679,0.069258855,0.004991615
10211at155619,T. abietinum,9453,0.05,0.039450143,0.032148263,0.0068,0.007247223,0.00675967
10211at155619,T. fuscoviolaceum,820,0.0031,0.023334756,0.027232917,0.0013,0.006630732,0.007133994
10230at155619,between,5658,0.4025,0.401438583,0.021545348,0.0386,0.039647596,0.011136903
10230at155619,T. abietinum,9453,0.0959,0.088323199,0.050297481,0.0052,0.009352555,0.016846562
10230at155619,T. fuscoviolaceum,820,0.0228,0.051389268,0.043236149,0.0041,0.007196951,0.006157047
10240at155619,between,5658,0.4811,0.47548632,0.023152853,0.0464,0.046982874,0.002361325
10240at155619,T. abietinum,9453,0.0635,0.079390437,0.049813426,0.0085,0.008917561,0.004833301
10240at155619,T. fuscoviolaceum,820,0.0077,0.009981098,0.007817036,0.002,0.00183439,0.001275672
10296at155619,between,5658,0.3101,0.314461806,0.022432891,0.0439,0.064851096,0.034200867
10296at155619,T. abietinum,9453,0.0742,0.085894309,0.058388565,0.0086,0.010485983,0.008099602
10296at155619,T. fuscoviolaceum,820,0.0478,0.058442683,0.049772678,0.0171,0.039846463,0.03772752
10302at155619,between,5658,0.432,0.431706911,0.023255606,0.0196,0.018191428,0.003969341
10302at155619,T. abietinum,9453,0.1285,0.12007386,0.05113932,0.0082,0.007292383,0.003882529
10302at155619,T. fuscoviolaceum,820,0.06855,0.06291561,0.028166031,0.0036,0.005161341,0.004320452
10320at155619,between,5658,0.4113,0.41192667,0.016473375,0.0496,0.049627306,0.002844219
10320at155619,T. abietinum,9453,0.0636,0.06268281,0.038002957,0.0082,0.00997459,0.006652552
10320at155619,T. fuscoviolaceum,820,0.0131,0.056117073,0.060223655,0.0073,0.013066707,0.012815321
10378at155619,between,5658,0.3736,0.378304896,0.040544198,0.0419,0.041906999,0.006611666
10378at155619,T. abietinum,9453,0.1048,0.097066624,0.051908148,0.0206,0.018555189,0.009683597
10378at155619,T. fuscoviolaceum,820,0.08185,0.07740061,0.049961402,0.0103,0.01019439,0.008106832
10420at155619,between,5658,0.3137,0.312203517,0.027330589,0.016,0.016836656,0.004596633
10420at155619,T. abietinum,9453,0.0561,0.052006263,0.019317097,0.0023,0.003029631,0.001915482
10420at155619,T. fuscoviolaceum,820,0.02765,0.034192317,0.029119964,0.0023,0.005140366,0.00631211
10438at155619,between,5658,0.4625,0.464246182,0.028110841,0.0444,0.044703411,0.004059531
10438at155619,T. abietinum,9453,0.1229,0.106066095,0.078750403,0.0147,0.015767598,0.009851
10438at155619,T. fuscoviolaceum,820,0.1474,0.137927683,0.062834264,0.0179,0.016868902,0.007304641
10532at155619,between,5658,0.3356,0.35018777,0.044183878,0.0401,0.040675875,0.002750155
10532at155619,T. abietinum,9453,0.0658,0.098913721,0.074938989,0.0171,0.017503576,0.011597044
10532at155619,T. fuscoviolaceum,820,0.00815,0.016314756,0.017713467,0.001,0.00252878,0.003661292
10537at155619,between,5658,0.404,0.40980737,0.029073857,0.0691,0.069523489,0.004278499
10537at155619,T. abietinum,9453,0.1111,0.09959725,0.047382686,0.0188,0.016498466,0.007742656
10537at155619,T. fuscoviolaceum,820,0.0432,0.043151585,0.026475485,0.013,0.014313049,0.009269983
10602at155619,between,5658,0.3572,0.358173347,0.010177573,0.0199,0.020898144,0.003998979
10602at155619,T. abietinum,9453,0.0955,0.072560372,0.049592047,0.0071,0.007606918,0.005710688
10602at155619,T. fuscoviolaceum,820,0.0041,0.004064512,0.003344081,8.00E-04,0.001165976,0.000988543
1061at155619,between,5658,0.3182,0.317806946,0.01345305,0.0119,0.012111877,0.00218613
1061at155619,T. abietinum,9453,0.1268,0.108382143,0.066860076,0.0071,0.006329028,0.003751694
1061at155619,T. fuscoviolaceum,820,0.0482,0.040154146,0.023291628,0.003,0.003807683,0.003139593
10702at155619,between,5658,0.2637,0.266561258,0.015478607,0.0287,0.030145617,0.004296116
10702at155619,T. abietinum,9453,0.0256,0.036884714,0.031835824,0.0034,0.005735978,0.006406694
10702at155619,T. fuscoviolaceum,820,0.0104,0.022104512,0.020538007,0.0023,0.003713659,0.003047268
10713at155619,between,5658,0.62695,0.615907299,0.086516932,0.0164,0.015784341,0.006113386
10713at155619,T. abietinum,9453,0.1052,0.107051031,0.062875728,0.0085,0.00843034,0.005214205
10713at155619,T. fuscoviolaceum,820,0.1158,0.169428293,0.15270427,0.0013,0.005002927,0.00711754
10763at155619,between,5658,0.47365,0.476332414,0.03195187,0.0169,0.016405868,0.003281371
10763at155619,T. abietinum,9453,0.1042,0.105937448,0.070912498,0.0051,0.006422607,0.004487666
10763at155619,T. fuscoviolaceum,820,0.0971,0.09472561,0.032317761,0.0013,0.001385122,0.00127967
10774at155619,between,5658,0.4386,0.442994645,0.038433771,0.0236,0.02347462,0.003986648
10774at155619,T. abietinum,9453,0.1077,0.100586861,0.03875956,0.0072,0.00729122,0.004790817
10774at155619,T. fuscoviolaceum,820,0.07425,0.079655488,0.044498846,0.0082,0.007069634,0.004815795
10775at155619,between,5658,0.3736,0.375038211,0.024833417,0.0234,0.02426824,0.009016685
10775at155619,T. abietinum,9453,0.0824,0.075304306,0.044565024,0.0137,0.013804782,0.008433287
10775at155619,T. fuscoviolaceum,820,0.0743,0.060097073,0.03880794,0.0135,0.010538537,0.007828643
1079at155619,between,5658,0.3398,0.339662124,0.013722742,0.0196,0.020004701,0.001955471
1079at155619,T. abietinum,9453,0.0657,0.07898135,0.053934065,0.0036,0.004978769,0.003854168
1079at155619,T. fuscoviolaceum,820,0.0069,0.051769146,0.06029064,0.0029,0.004638049,0.003761711
10812at155619,between,5658,0.3453,0.347500283,0.021093484,0.0273,0.028133758,0.002657173
10812at155619,T. abietinum,9453,0.0907,0.079912969,0.039145015,0.0083,0.007330403,0.004113874
10812at155619,T. fuscoviolaceum,820,0.0436,0.08266122,0.078688788,0.0027,0.008038415,0.007451715
10825at155619,between,5658,0.3129,0.313097473,0.033766883,0.0451,0.0452503,0.003004344
10825at155619,T. abietinum,9453,0.1048,0.089683392,0.045588536,0.0101,0.008913297,0.005109701
10825at155619,T. fuscoviolaceum,820,0.0974,0.087090122,0.051055048,0.0078,0.006192805,0.004303854
10854at155619,between,5658,0.2243,0.225324655,0.012505478,0.0024,0.002343178,0.001689134
10854at155619,T. abietinum,9453,0.0838,0.076521633,0.030029485,0.0012,0.001166392,0.001244513
10854at155619,T. fuscoviolaceum,820,0.04655,0.047373049,0.020657156,0.0012,0.00168,0.001546808
10938at155619,between,5658,0.3319,0.334457812,0.017027667,0.0471,0.047918081,0.003265593
10938at155619,T. abietinum,9453,0.0578,0.059472897,0.03819828,0.0086,0.010392849,0.006364345
10938at155619,T. fuscoviolaceum,820,0.0733,0.059144024,0.03943661,0.0145,0.011571585,0.00715765
11011at155619,between,5658,0.4471,0.445773895,0.021767403,0.0134,0.013693726,0.001119394
11011at155619,T. abietinum,9453,0.0918,0.102321136,0.052771876,0.0017,0.001847985,0.001065565
11011at155619,T. fuscoviolaceum,820,0.1026,0.097616951,0.032884399,8.00E-04,0.001187927,0.000937817
1103at155619,between,5658,0.3245,0.326231318,0.012778445,0.0262,0.025914846,0.00144416
1103at155619,T. abietinum,9453,0.042,0.065180863,0.049760183,0.0035,0.004315963,0.003572009
